GSE Series,Biosample Name,Method,Gene,Platform,Experimental_GSM,Control_GSM
GSE128711,HFF + doxorubicin,ko,RB1 + RBL2,?,GSM3683603;GSM3683604,GSM3683591;GSM3683592
GSE129603,HSPC,shRNA,SF3A2,?,GSM3716823;GSM3716824;GSM3716825,GSM3716829;GSM3716830;GSM3716831
GSE129603,HSPC,shRNA,SF3A2,?,GSM3716826;GSM3716827;GSM3716828,GSM3716829;GSM3716830;GSM3716831
GSE132081,HFF-1,siRNA,RC3H1,?,GSM3842229;GSM3842233,GSM3842213;GSM3842225
GSE133000,Human Umbilical Vein Endothelial Cell,shRNA,EGFL6,?,GSM3897996;GSM3897997;GSM3897998,GSM3897993;GSM3897994;GSM3897995
GSE133737,NHEK,inhibit,KDM1A,?,GSM3926274;GSM3926275,GSM3926276;GSM3926277
GSE136002,HCPECs,siRNA,MAPK6,?,GSM4039251;GSM4039255;GSM4039259,GSM4039249;GSM4039253;GSM4039257
GSE136957,HCM,siRNA,CYP2J2,?,GSM4063668;GSM4063669;GSM4063670,GSM4063665;GSM4063666;GSM4063667
GSE137083,NHDF,siRNA,PML,?,GSM4066619;GSM4066620;GSM4066621,GSM4066616;GSM4066617;GSM4066618
GSE137129,NSC,ko,UGP2,?,GSM4067423;GSM4067424,GSM4067421;GSM4067422
GSE137129,NSC,knockin,UGP2,?,GSM4067425;GSM4067426,GSM4067421;GSM4067422
GSE137276,HDF,siRNA,NUDT21,?,GSM4074310;GSM4074312;GSM4074314;GSM4074316;GSM4074318,GSM4074311;GSM4074313;GSM4074315;GSM4074317;GSM4074319
GSE137425,Huvec,ko,PDCD10,?,GSM4079085;GSM4079086;GSM4079087,GSM4079082;GSM4079083;GSM4079084
GSE137426,Huvec,ko,PDCD10,?,GSM4079091;GSM4079092;GSM4079093,GSM4079088;GSM4079089;GSM4079090
GSE137426,Huvec,ko,PDCD10 + Fibronectin,?,GSM4079094;GSM4079095;GSM4079096,GSM4079088;GSM4079089;GSM4079090
GSE138512,MSC,siRNA,TMPO,?,GSM4110095;GSM4110096,GSM4110097;GSM4110098
GSE139581,HUtSMC,ko,JUN,?,GSM4143959;GSM4143960;GSM4143961,GSM4143962;GSM4143963;GSM4143964
GSE140026,M0 Macrophages,ko,ATF4,?,GSM4151644;GSM4151645;GSM4151646,GSM4151641;GSM4151642;GSM4151643
GSE140026,M1 Macrophages,ko,ATF4,?,GSM4151653;GSM4151654;GSM4151655,GSM4151650;GSM4151651;GSM4151652
GSE140026,M2 Macrophages,ko,ATF4,?,GSM4151662;GSM4151663;GSM4151664,GSM4151659;GSM4151660;GSM4151661
GSE140026,M0 Macrophages,ko,EIF2AK4,?,GSM4151647;GSM4151648;GSM4151649,GSM4151641;GSM4151642;GSM4151643
GSE140026,M1 Macrophages,ko,EIF2AK4,?,GSM4151656;GSM4151657;GSM4151658,GSM4151650;GSM4151651;GSM4151652
GSE140026,M2 Macrophages,ko,EIF2AK4,?,GSM4151665;GSM4151666;GSM4151667,GSM4151659;GSM4151660;GSM4151661
GSE140471,NHA,ko,CIC,?,GSM4162580;GSM4162581;GSM4162582,GSM4162577;GSM4162578;GSM4162579
GSE140471,NHA,ko,CIC,?,GSM4162583;GSM4162584;GSM4162585,GSM4162577;GSM4162578;GSM4162579
GSE140471,NHA,ko,ATXN1L,?,GSM4162586;GSM4162587;GSM4162588,GSM4162577;GSM4162578;GSM4162579
GSE140471,NHA,ko,ATXN1L,?,GSM4162589;GSM4162590;GSM4162591,GSM4162577;GSM4162578;GSM4162579
GSE140990,NHK,siRNA,CREBBP,?,GSM4192047;GSM4192048,GSM4192039;GSM4192040
GSE140990,NHK,siRNA,EP300,?,GSM4192049;GSM4192050,GSM4192039;GSM4192040
GSE140990,NHK,siRNA,KLF3,?,GSM4192041;GSM4192042,GSM4192039;GSM4192040
GSE140990,NHK,siRNA,KLF4,?,GSM4192043;GSM4192044,GSM4192039;GSM4192040
GSE140990,NHK,siRNA,KLF3 + KLF4,?,GSM4192045;GSM4192046,GSM4192039;GSM4192040
GSE141099,HDF,mut,AGO2,?,GSM4194982;GSM4194983;GSM4194984,GSM4194977;GSM4194978;GSM4194979;GSM4194980;GSM4194981
GSE141783,HUVECs,siRNA,IL6,?,GSM4213184;GSM4213185;GSM4213186;GSM4213187,GSM4213180;GSM4213181;GSM4213182;GSM4213183
GSE142385,hepatocytes,siRNA,LOC157273,?,GSM4226626;GSM4226627;GSM4226628;GSM4226629;GSM4226630;GSM4226631,GSM4226623;GSM4226624;GSM4226625
GSE142636,HCEC,siRNA,SLC4A11,?,GSM4233275;GSM4233276;GSM4233277,GSM4233272;GSM4233273;GSM4233274
GSE143692,NPC,shRNA,POU3F2,?,GSM4272693;GSM4272694;GSM4272695,GSM4272696;GSM4272697;GSM4272698
GSE143692,NPC,shRNA,TRIM8,?,GSM4272699;GSM4272700;GSM4272701,GSM4272702;GSM4272703;GSM4272704
GSE145203,FLS,shRNA,EIF2AK4,?,GSM4308412;GSM4308413,GSM4308404;GSM4308405
GSE145203,FLS + Halofuginone,shRNA,EIF2AK4,?,GSM4308414;GSM4308415,GSM4308406;GSM4308407
GSE145203,FLS + TNF,shRNA,EIF2AK4,?,GSM4308416;GSM4308417,GSM4308408;GSM4308409
GSE145203,FLS + TNF + Halofuginone,shRNA,EIF2AK4,?,GSM4308418;GSM4308419,GSM4308410;GSM4308411
GSE149485,NSC,ko,TP53,?,GSM4503596;GSM4503597,GSM4503594;GSM4503595
GSE149485,NSC,ko,TP53 + CDKN2A,?,GSM4503598;GSM4503599,GSM4503594;GSM4503595
GSE149485,NSC,ko,TP53 + CDKN2A + PTEN,?,GSM4503600;GSM4503601,GSM4503594;GSM4503595
GSE149485,NSC,ko,TP53 + CDKN2A + PTEN + NF1,?,GSM4503602;GSM4503603,GSM4503594;GSM4503595
GSE150155,NK,ko,CISH,?,GSM4525222;GSM4525223,GSM4525220;GSM4525221
GSE150341,CD34+ cells,shRNA,EIF2AK1,?,GSM4547187;GSM4547188,GSM4547185;GSM4547186
GSE150341,CD34+ cells + UNC0638,shRNA,EIF2AK1,?,GSM4547195;GSM4547196,GSM4547193;GSM4547194
GSE150540,HUVEC,siRNA,ADA2,?,GSM4551981;GSM4551982;GSM4551983,GSM4551978;GSM4551979;GSM4551980
