GSE Series,Biosample Name,Method,Gene,Platform,Experimental_GSM,Control_GSM
GSE54268,MCF10A,shRNA,ATR,GPL10558,GSM1311322;GSM1311323;GSM1311324,GSM1311313;GSM1311314;GSM1311315
GSE54268,MCF10A,shRNA,ATR,GPL10558,GSM1311325;GSM1311326;GSM1311327,GSM1311313;GSM1311314;GSM1311315
GSE54268,MCF10A,shRNA,CHK1,GPL10558,GSM1311328;GSM1311329;GSM1311330,GSM1311313;GSM1311314;GSM1311315
GSE54268,MCF10A,shRNA,CHK1,GPL10558,GSM1311331;GSM1311332;GSM1311333,GSM1311313;GSM1311314;GSM1311315
GSE54268,MCF10A,shRNA,CHK2,GPL10558,GSM1311334;GSM1311335;GSM1311336,GSM1311313;GSM1311314;GSM1311315
GSE54268,MCF10A,shRNA,CHK2,GPL10558,GSM1311337;GSM1311338;GSM1311339,GSM1311313;GSM1311314;GSM1311315
GSE54268,MCF10A,shRNA,TP53BP1,GPL10558,GSM1311340;GSM1311341;GSM1311342,GSM1311313;GSM1311314;GSM1311315
GSE54268,MCF10A,shRNA,TP53BP1,GPL10558,GSM1311343;GSM1311344;GSM1311345,GSM1311313;GSM1311314;GSM1311315
GSE55269,Primary human keratinocytes,shRNA,SNAI2,GPL570,GSM1333057;GSM1333058,GSM1333055;GSM1333056
GSE55269,Primary human keratinocytes,Overexpression,SNAI2,GPL570,GSM1333061;GSM1333062,GSM1333059;GSM1333060
GSE55675,MCF10A,siRNA,FOXF2,GPL18387,GSM1341568,GSM1341567
GSE56640,Neonatal foreskin keratinocytes,siRNA,TP53,GPL18627,GSM1376852,GSM1376849
GSE56640,Neonatal foreskin keratinocytes,siRNA,TP63,GPL18627,GSM1376855,GSM1376849
GSE56640,Neonatal foreskin keratinocytes + Adriamycin,siRNA,TP53,GPL18627,GSM1376853,GSM1376850
GSE56640,Neonatal foreskin keratinocytes + Adriamycin,siRNA,TP63,GPL18627,GSM1376856,GSM1376850
GSE56640,Neonatal foreskin keratinocytes + Cisplatin,siRNA,TP53,GPL18627,GSM1376854,GSM1376851
GSE56640,Neonatal foreskin keratinocytes + Cisplatin,siRNA,TP63,GPL18627,GSM1376857,GSM1376851
GSE56989,Primary human macrophages,siRNA,HIF1A,GPL6244,GSM1372678;GSM1372679;GSM1372680,GSM1372675;GSM1372676;GSM1372677
GSE56989,Primary human macrophages,siRNA,HIF2A,GPL6244,GSM1372681;GSM1372682;GSM1372683,GSM1372675;GSM1372676;GSM1372677
GSE56989,Primary human macrophages + IL10,siRNA,HIF1A,GPL6244,GSM1372687;GSM1372688;GSM1372689,GSM1372684;GSM1372685;GSM1372686
GSE56989,Primary human macrophages + IL10,siRNA,HIF2A,GPL6244,GSM1372690;GSM1372691;GSM1372692,GSM1372684;GSM1372685;GSM1372686
GSE56989,Primary human macrophages + Hypoxia,siRNA,HIF1A,GPL6244,GSM1372696;GSM1372697;GSM1372698,GSM1372693;GSM1372694;GSM1372695
GSE56989,Primary human macrophages + Hypoxia,siRNA,HIF2A,GPL6244,GSM1372699;GSM1372700;GSM1372701,GSM1372693;GSM1372694;GSM1372695
GSE56989,Primary human macrophages + Hypoxia + IL10,siRNA,HIF1A,GPL6244,GSM1372705;GSM1372706;GSM1372707,GSM1372702;GSM1372703;GSM1372704
GSE56989,Primary human macrophages + Hypoxia + IL10,siRNA,HIF2A,GPL6244,GSM1372708;GSM1372709;GSM1372710,GSM1372702;GSM1372703;GSM1372704
GSE57538,Adipose stem cells,siRNA,MYC,GPL13158,GSM1384344;GSM1384345;GSM1384346,GSM1384341;GSM1384342;GSM1384343
GSE57538,Adipose stem cells,siRNA,MYC,GPL13158,GSM1384347;GSM1384348;GSM1384349,GSM1384341;GSM1384342;GSM1384343
GSE60152,Lymphatic endothelial cells,siRNA,FOXC2,GPL6244,GSM1466661;GSM1466662,GSM1466659;GSM1466660
GSE60152,Lymphatic endothelial cells + Shear Stress,siRNA,FOXC2,GPL6244,GSM1466665;GSM1466666,GSM1466663;GSM1466664
GSE60299,CD34+ cells,siRNA,MYB,GPL13667,GSM1470592;GSM1470598;GSM1470604;GSM1470610;GSM1470616,GSM1470591;GSM1470597;GSM1470603;GSM1470609;GSM1470615
GSE60299,CD34+ cells,siRNA,MYB,GPL13667,GSM1470594;GSM1470600;GSM1470606;GSM1470612;GSM1470618,GSM1470593;GSM1470599;GSM1470605;GSM1470611;GSM1470617
GSE60299,CD34+ cells,siRNA,MYB,GPL13667,GSM1470596;GSM1470602;GSM1470608;GSM1470614;GSM1470620,GSM1470595;GSM1470601;GSM1470607;GSM1470613;GSM1470619
GSE62634,HSPCs,shRNA,TAL1,GPL6244,GSM1530544;GSM1530545;GSM1530546,GSM1530541;GSM1530542;GSM1530543
GSE62634,HSPCs,Overexpression,TAL1,GPL6244,GSM1530538;GSM1530539;GSM1530540,GSM1530541;GSM1530542;GSM1530543
GSE66671,Neural precursor cells,siRNA,OTX2,GPL16686,GSM1627682;GSM1627684,GSM1627683;GSM1627685
GSE67390,HUVEC,siRNA,FOXO1,GPL10558,GSM1646151;GSM1646152,GSM1138873;GSM1138875
GSE67390,HUVEC,siRNA,APLN,GPL10558,GSM1138877;GSM1138879,GSM1138873;GSM1138875
GSE69992,Dental Pulp Cells,siRNA,MSX1,GPL17077,GSM1715440;GSM1715441;GSM1715442,GSM1715437;GSM1715438;GSM1715439
GSE70190,Primary human bronchial epithelial cells,siRNA,IRF7,GPL20609,GSM1720626;GSM1720630;GSM1720634;GSM1720638;GSM1720642,GSM1720625;GSM1720629;GSM1720633;GSM1720637;GSM1720641
GSE73550,Endometrial stromal cells,siRNA,ESR1,GPL571,GSM1897717;GSM1897719;GSM1897721,GSM1897716;GSM1897718;GSM1897720
GSE75207,IRM90 + 4OHT,shRNA,ARID1B,GPL6244,GSM1945120;GSM1945121;GSM1945122,GSM1945117;GSM1945118;GSM1945119
GSE75380,HUVEC,siRNA,SOX7,GPL13497,GSM1954262;GSM1954263,GSM1954260;GSM1954261
GSE75380,HUVEC,siRNA,SOX17,GPL13497,GSM1954264;GSM1954265,GSM1954260;GSM1954261
GSE75380,HUVEC,siRNA,SOX7 + SOX17,GPL13497,GSM1954266;GSM1954267,GSM1954260;GSM1954261
GSE75692,hADSC,siRNA,ETV5,GPL10558,GSM1964036;GSM1964037;GSM1964038,GSM1964027;GSM1964028;GSM1964029
GSE75692,hADSC,siRNA,THRA,GPL10558,GSM1964030;GSM1964031;GSM1964032,GSM1964027;GSM1964028;GSM1964029
GSE75692,hADSC,siRNA,THRB,GPL10558,GSM1964033;GSM1964034;GSM1964035,GSM1964027;GSM1964028;GSM1964029
GSE75840,MCF10A,shRNA,HOXA5,GPL10558,GSM1968749;GSM1968752,GSM1968748;GSM1968751
GSE75840,MCF10A,shRNA,HOXA5,GPL10558,GSM1968750;GSM1968753,GSM1968748;GSM1968751
GSE76158,MSCs,siRNA,TWIST1,GPL16686,GSM1975464,GSM1975463
GSE79251,Corneal epithelial cells,siRNA,OVOL2,GPL14550,GSM2089721;GSM2089722;GSM2089723;GSM2089724,GSM2089725;GSM2089726;GSM2089727;GSM2089728
GSE84617,Monocyte-derived M-CSF macrophages,siRNA,MAFB,GPL13497,GSM2242990;GSM2242991;GSM2242992,GSM2242987;GSM2242988;GSM2242989
GSE86572,iEEC16,shRNA,ARID1A,GPL10558,GSM2306090;GSM2306091,GSM2306088;GSM2306089
GSE86572,iEEC16,shRNA,ARID1A,GPL10558,GSM2306092;GSM2306093,GSM2306088;GSM2306089
GSE88768,GM-CSF Macrophage,siRNA,PPARG,GPL21185,GSM2345240;GSM2345241;GSM2345242,GSM2345237;GSM2345238;GSM2345239
GSE94465,NHEK,siRNA,GRHL3,GPL6244,GSM2476163;GSM2476164,GSM2476165;GSM2476166
GSE94466,NHEK,siRNA,REST,GPL6244,GSM2476171;GSM2476172,GSM2476169;GSM2476170
GSE94467,NHEK,siRNA,REST,GPL6244,GSM2476175;GSM2476176,GSM2476173;GSM2476174
GSE94468,HCE,siRNA,KLF4,GPL6244,GSM2476179;GSM2476180,GSM2476177;GSM2476178
GSE94469,HCE,siRNA,KLF7,GPL6244,GSM2476183;GSM2476184,GSM2476181;GSM2476182
GSE94470,HCE,siRNA,KLF4,GPL16686,GSM2476187;GSM2476188,GSM2476185;GSM2476186
GSE94470,HCE,siRNA,KLF7,GPL16686,GSM2476189;GSM2476190,GSM2476185;GSM2476186
GSE98440,HUVEC,knockdown,HMGB2,GPL20301,GSM2595534;GSM2595535,GSM2595532;GSM2595533
GSE16906,endometrial stromal cells,Overexpression,JAG1,?,GSM423835;GSM423840;GSM423841,GSM423834;GSM423842;GSM423843
GSE5856,Endothelial cells,drug,TSA,?,GSM136698;GSM136700;GSM136702,GSM136682;GSM136696;GSM136697
GSE41040,fibroblasts fron neonatal foreskin,shRNA,KDM4C,?,GSM1007876;GSM1007877;GSM1007878;GSM1007879,GSM1007872;GSM1007873;GSM1007874;GSM1007875
GSE41040,fibroblasts fron neonatal foreskin,shRNA,KDM4C,?,GSM1007880;GSM1007881;GSM1080767;GSM1080768,GSM1007872;GSM1007873;GSM1007874;GSM1007875
GSE41040,fibroblasts fron neonatal foreskin,shRNA,KDM4C,?,GSM1080769;GSM1080770,GSM1007872;GSM1007873;GSM1007874;GSM1007875
GSE38039,HaCaT keratinocytes,shRNA,ZNF750,?,GSM932866;GSM932867;GSM932868,GSM932863;GSM932864;GSM932865
GSE16200,MCF10A,knockdown,SYK,?,GSM406567;GSM406569;GSM406571,GSM406561;GSM406563;GSM406565
GSE16200,MCF10A + collagen,knockdown,SYK,?,GSM406566;GSM406568;GSM406570,GSM406560;GSM406562;GSM406564
GSE15811,CD34+ cells,mutant,BCR/ABL1,?,GSM397304;GSM397308;GSM397312,GSM397303;GSM397307;GSM397311
GSE15811,CD34+ cells,mutant,BCR/FGFR1,?,GSM397302;GSM397306;GSM397310,GSM397303;GSM397307;GSM397311
GSE15811,CD34+ cells,mutant,ZMYM2/FGFR1,?,GSM397305;GSM397309;GSM397313,GSM397303;GSM397307;GSM397311
GSE22288,MCF10A-HER2-FKBP-HA,drug,AP1510,?,GSM554582;GSM554583;GSM554584,GSM554579;GSM554580;GSM554581
GSE22288,MCF10A-HER2-FKBP-HA,drug,TGF-alpha,?,GSM554585;GSM554586;GSM554587,GSM554579;GSM554580;GSM554581
GSE22288,MCF10A-HER2-FKBP-HA,drug,Heregulin,?,GSM554588;GSM554589;GSM554590,GSM554579;GSM554580;GSM554581
GSE33298,homozygous fibroblast,mutant,LRRK2,?,GSM823567;GSM823568,GSM823565;GSM823566
GSE33298,heterozygous fibroblast,mutant,LRRK2,?,GSM823569;GSM823570,GSM823565;GSM823566
GSE36321,NSC,knockin,LRRK2,?,GSM888891;GSM888892;GSM888893,GSM888888;GSM888889;GSM888890
GSE10765,Macrophages,knockout,IRAK2,?,GSM271854,GSM271850
GSE10765,Macrophages,knockout,IRAK1 + IRAK2,?,GSM271858,GSM271850
GSE10765,Macrophages + MALP-2 (2h),knockout,IRAK2,?,GSM271855,GSM271851
GSE10765,Macrophages + MALP-2 (2h),knockout,IRAK1 + IRAK2,?,GSM271859,GSM271851
GSE10765,Macrophages + MALP-2 (4h),knockout,IRAK2,?,GSM271856,GSM271852
GSE10765,Macrophages + MALP-2 4h),knockout,IRAK1 + IRAK2,?,GSM271860,GSM271852
GSE10765,Macrophages + MALP-2 (8h),knockout,IRAK2,?,GSM271857,GSM271853
GSE10765,Macrophages + MALP-2 (8h),knockout,IRAK1 + IRAK2,?,GSM271861,GSM271853
GSE12124,Fibroblast (2h),knockout,IRAK4,?,GSM305729,GSM305705;GSM305713;GSM305721
GSE12124,Fibroblast (2h),knockout,MYD88,?,GSM305737,GSM305705;GSM305713;GSM305721
GSE12124,Fibroblast (2h),knockout,NEMO,?,GSM305745,GSM305705;GSM305713;GSM305721
GSE12124,Fibroblast (2h),knockout,STAT1,?,GSM305753,GSM305705;GSM305713;GSM305721
GSE12124,Fibroblast (2h),knockout,UNC93B,?,GSM305761;GSM305768,GSM305705;GSM305713;GSM305721
GSE12124,Fibroblast (8h),knockout,IRAK4,?,GSM305730,GSM305706;GSM305714;GSM305722
GSE12124,Fibroblast (8h),knockout,MYD88,?,GSM305738,GSM305706;GSM305714;GSM305722
GSE12124,Fibroblast (8h),knockout,NEMO,?,GSM305746,GSM305706;GSM305714;GSM305722
GSE12124,Fibroblast (8h),knockout,STAT1,?,GSM305754,GSM305706;GSM305714;GSM305722
GSE12124,Fibroblast (8h),knockout,UNC93B,?,GSM305774;GSM305769,GSM305706;GSM305714;GSM305722
GSE12124,Fibroblast + IL1B (2h),knockout,IRAK4,?,GSM305727,GSM305703;GSM305711;GSM305719
GSE12124,Fibroblast + IL1B (2h),knockout,MYD88,?,GSM305735,GSM305703;GSM305711;GSM305719
GSE12124,Fibroblast + IL1B (2h),knockout,NEMO,?,GSM305743,GSM305703;GSM305711;GSM305719
GSE12124,Fibroblast + IL1B (2h),knockout,STAT1,?,GSM305751,GSM305703;GSM305711;GSM305719
GSE12124,Fibroblast + IL1B (2h),knockout,UNC93B,?,GSM305759;GSM305766,GSM305703;GSM305711;GSM305719
GSE12124,Fibroblast + IL1B (8h),knockout,IRAK4,?,GSM305728,GSM305704;GSM305712;GSM305720
GSE12124,Fibroblast + IL1B (8h),knockout,MYD88,?,GSM305736,GSM305704;GSM305712;GSM305720
GSE12124,Fibroblast + IL1B (8h),knockout,NEMO,?,GSM305744,GSM305704;GSM305712;GSM305720
GSE12124,Fibroblast + IL1B (8h),knockout,STAT1,?,GSM305752,GSM305704;GSM305712;GSM305720
GSE12124,Fibroblast + IL1B (8h),knockout,UNC93B,?,GSM305760;GSM305767,GSM305704;GSM305712;GSM305720
GSE12124,Fibroblast + Poly(I:C) (2h),knockout,IRAK4,?,GSM305731,GSM305707;GSM305715;GSM305723
GSE12124,Fibroblast + Poly(I:C) (2h),knockout,MYD88,?,GSM305739,GSM305707;GSM305715;GSM305723
GSE12124,Fibroblast + Poly(I:C) (2h),knockout,NEMO,?,GSM305747,GSM305707;GSM305715;GSM305723
GSE12124,Fibroblast + Poly(I:C) (2h),knockout,STAT1,?,GSM305755,GSM305707;GSM305715;GSM305723
GSE12124,Fibroblast + Poly(I:C) (2h),knockout,UNC93B,?,GSM305762;GSM305770,GSM305707;GSM305715;GSM305723
GSE12124,Fibroblast + Poly(I:C) (8h),knockout,IRAK4,?,GSM305732,GSM305708;GSM305716;GSM305724
GSE12124,Fibroblast + Poly(I:C) (8h),knockout,MYD88,?,GSM305740,GSM305708;GSM305716;GSM305724
GSE12124,Fibroblast + Poly(I:C) (8h),knockout,NEMO,?,GSM305748,GSM305708;GSM305716;GSM305724
GSE12124,Fibroblast + Poly(I:C) (8h),knockout,STAT1,?,GSM305756,GSM305708;GSM305716;GSM305724
GSE12124,Fibroblast + Poly(I:C) (8h),knockout,UNC93B,?,GSM305763;GSM305771,GSM305708;GSM305716;GSM305724
GSE12124,Fibroblast + TNF (2h),knockout,IRAK4,?,GSM305734,GSM305709;GSM305717;GSM305725
GSE12124,Fibroblast + TNF (2h),knockout,MYD88,?,GSM305741,GSM305709;GSM305717;GSM305725
GSE12124,Fibroblast + TNF (2h),knockout,NEMO,?,GSM305749,GSM305709;GSM305717;GSM305725
GSE12124,Fibroblast + TNF (2h),knockout,STAT1,?,GSM305757,GSM305709;GSM305717;GSM305725
GSE12124,Fibroblast + TNF (2h),knockout,UNC93B,?,GSM305764;GSM305772,GSM305709;GSM305717;GSM305725
GSE12124,Fibroblast + TNF (8h),knockout,IRAK4,?,GSM305733,GSM305710;GSM305718;GSM305726
GSE12124,Fibroblast + TNF (8h),knockout,MYD88,?,GSM305742,GSM305710;GSM305718;GSM305726
GSE12124,Fibroblast + TNF (8h),knockout,NEMO,?,GSM305750,GSM305710;GSM305718;GSM305726
GSE12124,Fibroblast + TNF (8h),knockout,STAT1,?,GSM305758,GSM305710;GSM305718;GSM305726
GSE12124,Fibroblast + TNF (8h),knockout,UNC93B,?,GSM305765;GSM305773,GSM305710;GSM305718;GSM305726
GSE14987,MCF10A,overexpression,ERBB2,?,GSM374144;GSM374145;GSM374146,GSM374141;GSM374142;GSM374143
GSE17785,MCF10A,activemutant,PIK3CA,?,GSM443984;GSM443985;GSM443986,GSM443978;GSM443979;GSM443980
GSE17785,MCF10A,druginhibition,PIK3CA,?,GSM443987;GSM443988;GSM443989,GSM443978;GSM443979;GSM443980
GSE26523,Keratinocytes (1h),drugactivation,EFNA4,?,GSM652201,GSM652199
GSE26523,Keratinocytes (1h),drugactivation,EPHB2,?,GSM652200,GSM652199
GSE26523,Keratinocytes (4h),drugactivation,EFNA4,?,GSM652204,GSM652202
GSE26523,Keratinocytes (4h),drugactivation,EPHB2,?,GSM652203,GSM652202
GSE26523,Keratinocytes (24h),drugactivation,EFNA4,?,GSM652207,GSM652205
GSE26523,Keratinocytes (24h),drugactivation,EPHB2,?,GSM652206,GSM652205
GSE26523,Keratinocytes (48h),drugactivation,EFNA4,?,GSM652210,GSM652208
GSE26523,Keratinocytes (48h),drugactivation,EPHB2,?,GSM652209,GSM652208
GSE27871,HUVEC,knockdown,ABL1,?,GSM688049,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,AFF1,?,GSM688050,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,AKT1,?,GSM688051,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,ANAPC2,?,GSM688052,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,ANGPT1,?,GSM688053,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,ANGPT2,?,GSM688054,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,ARHGAP1,?,GSM688055,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,ARHGAP4,?,GSM688056,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,ARHGEF1,?,GSM688057,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,ASNS,?,GSM688058,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,ATBF1,?,GSM688059,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,ATM,?,GSM688060,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,ATP13A3,?,GSM688061,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,ATR,?,GSM688062,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,AURKA,?,GSM688063,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,AURKB,?,GSM688064,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,BCAP31,?,GSM688065,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,BCL6,?,GSM688066,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,BCOR,?,GSM688067,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,BDNF,?,GSM688068,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,BIRC6,?,GSM688069,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,C17orf62,?,GSM688070,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,C3orf26,?,GSM688071,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CASP1,?,GSM688072,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CCL2,?,GSM688073,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CCNA1,?,GSM688074,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CCNA2,?,GSM688075,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CCNB1,?,GSM688076,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CCNB2,?,GSM688077,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CCNB3,?,GSM688078,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CCNC,?,GSM688079,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CCND1,?,GSM688080,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CCND2,?,GSM688081,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CCND3,?,GSM688082,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CCNE1,?,GSM688083,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CCNE2,?,GSM688084,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CCNF,?,GSM688085,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CCNG1,?,GSM688086,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CCNG2,?,GSM688087,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CCNH,?,GSM688088,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CCNI,?,GSM688089,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CCNT1,?,GSM688090,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CCNT2,?,GSM688091,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CDC16,?,GSM688092,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CDC20,?,GSM688093,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CDC25A,?,GSM688094,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CDC25B,?,GSM688095,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CDC25C,?,GSM688096,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CDC27,?,GSM688097,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CDC2,?,GSM688098,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CDC34,?,GSM688099,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CDC37,?,GSM688100,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CDC42EP1,?,GSM688101,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CDC42EP4,?,GSM688102,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CDC45L,?,GSM688103,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CDC6,?,GSM688104,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CDC7,?,GSM688105,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CDH12,?,GSM688106,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CDH2,?,GSM688107,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CDH5,?,GSM688108,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CDK10,?,GSM688109,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CDK2,?,GSM688110,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CDK3,?,GSM688111,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CDK4,?,GSM688112,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CDK5,?,GSM688113,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CDK6,?,GSM688114,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CDK7,?,GSM688115,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CDK8,?,GSM688116,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CDK9,?,GSM688117,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CDKN1C,?,GSM688118,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CDKN2B,?,GSM688119,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CDKN2C,?,GSM688120,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CDKN2D,?,GSM688121,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CDT1,?,GSM688122,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CEBPA,?,GSM688123,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CEBPB,?,GSM688124,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CEBPD,?,GSM688125,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CEBPG,?,GSM688126,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CEBPZ,?,GSM688127,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CENPA,?,GSM688128,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CENPB,?,GSM688129,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CENPC1,?,GSM688130,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CENPE,?,GSM688131,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CENPF,?,GSM688132,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CENPH,?,GSM688133,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CFB,?,GSM688134,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CFLAR,?,GSM688135,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CHEK1,?,GSM688136,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CHEK2,?,GSM688137,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CHUK,?,GSM688138,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CREB1,?,GSM688139,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CREBBP,?,GSM688140,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CREM,?,GSM688141,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CRI1,?,GSM688142,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CRK,?,GSM688143,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CRX,?,GSM688144,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CTCF,?,GSM688145,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CTNNB1,?,GSM688146,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CWC15,?,GSM688147,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CX3CL1,?,GSM688148,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CX3CR1,?,GSM688149,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CXCL10,?,GSM688150,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CXCL11,?,GSM688151,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CXCL1,?,GSM688152,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CXCL2,?,GSM688153,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CXCL3,?,GSM688154,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,CXCR3,?,GSM688155,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,DDX58,?,GSM688156,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,DEK,?,GSM688157,GSM688449;GSM688450;GSM688451
GSE27871,HUVEC,knockdown,DHX15,?,GSM688158,GSM688449;GSM688450;GSM688451
