"","gene"
"511","ENSG00000163568"
"512","ENSG00000164022"
"513","ENSG00000234187"
"514","ENSG00000106305"
"515","ENSG00000110711"
"516","ENSG00000129221"
"517","ENSG00000160224"
"518","ENSG00000196581"
"519","ENSG00000129474"
"520","ENSG00000106992"
"521","ENSG00000004455"
"522","ENSG00000147853"
"523","ENSG00000230042"
"524","ENSG00000228816"
"525","ENSG00000162433"
"526","ENSG00000291723"
"527","ENSG00000233381"
"528","ENSG00000154027"
"529","ENSG00000279247"
"530","ENSG00000140057"
"531","ENSG00000165695"
"532","ENSG00000155085"
"533","ENSG00000231824"
"534","ENSG00000121057"
"535","ENSG00000108599"
"536","ENSG00000023516"
"537","ENSG00000131016"
"538","ENSG00000170776"
"539","ENSG00000186471"
"540","ENSG00000292343"
"541","ENSG00000214992"
"542","ENSG00000111254"
"543","ENSG00000179841"
"544","ENSG00000151320"
"545","ENSG00000118507"
"546","ENSG00000105127"
"547","ENSG00000011243"
"548","ENSG00000127914"
"549","ENSG00000166452"
"550","ENSG00000174574"
"551","ENSG00000135334"
"552","ENSG00000106948"
"553","ENSG00000162641"
"554","ENSG00000117448"
"555","ENSG00000085662"
"556","ENSG00000198074"
"557","ENSG00000263355"
"558","ENSG00000227471"
"559","ENSG00000187134"
"560","ENSG00000151632"
"561","ENSG00000196139"
"562","ENSG00000198610"
"563","ENSG00000151631"
"564","ENSG00000215267"
"565","ENSG00000122787"
"566","ENSG00000165568"
"567","ENSG00000053371"
"568","ENSG00000280751"
"569","ENSG00000162482"
"570","ENSG00000211454"
"571","ENSG00000142208"
"572","ENSG00000204673"
"573","ENSG00000105221"
"574","ENSG00000275199"
"575","ENSG00000166971"
"576","ENSG00000148218"
"577","ENSG00000023330"
"578","ENSG00000158578"
"579","ENSG00000163631"
"580","ENSG00000170017"
"581","ENSG00000161618"
"582","ENSG00000059573"
"583","ENSG00000165092"
"584","ENSG00000128918"
"585","ENSG00000184254"
"586","ENSG00000137124"
"587","ENSG00000144908"
"588","ENSG00000136010"
"589","ENSG00000111275"
"590","ENSG00000108602"
"591","ENSG00000072210"
"592","ENSG00000006534"
"593","ENSG00000132746"
"594","ENSG00000159423"
"595","ENSG00000112294"
"596","ENSG00000119711"
"597","ENSG00000164904"
"598","ENSG00000251400"
"599","ENSG00000118514"
"600","ENSG00000143149"
"601","ENSG00000149925"
"602","ENSG00000136872"
"603","ENSG00000109107"
"604","ENSG00000033011"
"605","ENSG00000139133"
"606","ENSG00000175548"
"607","ENSG00000253710"
"608","ENSG00000182858"
"609","ENSG00000101901"
"610","ENSG00000172339"
"611","ENSG00000285027"
"612","ENSG00000251287"
"613","ENSG00000288161"
"614","ENSG00000254978"
"615","ENSG00000119523"
"616","ENSG00000214160"
"617","ENSG00000120697"
"618","ENSG00000088035"
"619","ENSG00000159063"
"620","ENSG00000086848"
"621","ENSG00000171094"
"622","ENSG00000100601"
"623","ENSG00000189046"
"624","ENSG00000166199"
"625","ENSG00000160993"
"626","ENSG00000091542"
"627","ENSG00000239382"
"628","ENSG00000125652"
"629","ENSG00000137760"
"630","ENSG00000151360"
"631","ENSG00000116127"
"632","ENSG00000291486"
"633","ENSG00000108839"
"634","ENSG00000179477"
"635","ENSG00000262943"
"636","ENSG00000161905"
"637","ENSG00000179593"
"638","ENSG00000275565"
"639","ENSG00000132965"
"640","ENSG00000179148"
"641","ENSG00000163295"
"642","ENSG00000073331"
"643","ENSG00000198796"
"644","ENSG00000136383"
"645","ENSG00000162551"
"646","ENSG00000163283"
"647","ENSG00000003393"
"648","ENSG00000178038"
"649","ENSG00000180318"
"650","ENSG00000156150"
"651","ENSG00000052850"
"652","ENSG00000183684"
"653","ENSG00000242110"
"654","ENSG00000178522"
"655","ENSG00000106927"
"656","ENSG00000110497"
"657","ENSG00000123505"
"658","ENSG00000249286"
"659","ENSG00000215124"
"660","ENSG00000139344"
"661","ENSG00000162066"
"662","ENSG00000184675"
"663","ENSG00000165566"
"664","ENSG00000178171"
"665","ENSG00000159461"
"666","ENSG00000104899"
"667","ENSG00000135409"
"668","ENSG00000181754"
"669","ENSG00000139211"
"670","ENSG00000176020"
"671","ENSG00000101935"
"672","ENSG00000144233"
"673","ENSG00000166126"
"674","ENSG00000151743"
"675","ENSG00000126016"
"676","ENSG00000166025"
"677","ENSG00000114019"
"678","ENSG00000116748"
"679","ENSG00000116337"
"680","ENSG00000133805"
"681","ENSG00000078053"
"682","ENSG00000145020"
"683","ENSG00000187689"
"684","ENSG00000237763"
"685","ENSG00000174876"
"686","ENSG00000187733"
"687","ENSG00000243480"
"688","ENSG00000240038"
"689","ENSG00000174945"
"690","ENSG00000196704"
"691","ENSG00000214174"
"692","ENSG00000219249"
"693","ENSG00000153107"
"694","ENSG00000164162"
"695","ENSG00000213735"
"696","ENSG00000141552"
"697","ENSG00000129055"
"698","ENSG00000110200"
"699","ENSG00000166295"
"700","ENSG00000233673"
"701","ENSG00000176248"
"702","ENSG00000053900"
"703","ENSG00000089053"
"704","ENSG00000196510"
"705","ENSG00000214274"
"706","ENSG00000013523"
"707","ENSG00000174606"
"708","ENSG00000154188"
"709","ENSG00000091879"
"710","ENSG00000101280"
"711","ENSG00000116194"
"712","ENSG00000136859"
"713","ENSG00000132855"
"714","ENSG00000167772"
"715","ENSG00000187151"
"716","ENSG00000130812"
"717","ENSG00000171819"
"718","ENSG00000130173"
"719","ENSG00000029534"
"720","ENSG00000145362"
"721","ENSG00000151150"
"722","ENSG00000151687"
"723","ENSG00000166839"
"724","ENSG00000189045"
"725","ENSG00000132623"
"726","ENSG00000153930"
"727","ENSG00000185722"
"728","ENSG00000154122"
"729","ENSG00000131503"
"730","ENSG00000254996"
"731","ENSG00000001629"
"732","ENSG00000170209"
"733","ENSG00000160117"
"734","ENSG00000176915"
"735","ENSG00000144504"
"736","ENSG00000106524"
"737","ENSG00000164331"
"738","ENSG00000148677"
"739","ENSG00000088448"
"740","ENSG00000167522"
"741","ENSG00000101745"
"742","ENSG00000076513"
"743","ENSG00000198720"
"744","ENSG00000118454"
"745","ENSG00000172932"
"746","ENSG00000134461"
"747","ENSG00000132466"
"748","ENSG00000180071"
"749","ENSG00000230453"
"750","ENSG00000159712"
"751","ENSG00000290333"
"752","ENSG00000217165"
"753","ENSG00000187984"
"754","ENSG00000165887"
"755","ENSG00000260691"
"756","ENSG00000226695"
"757","ENSG00000215559"
"758","ENSG00000251056"
"759","ENSG00000196593"
"760","ENSG00000186481"
"761","ENSG00000236816"
"762","ENSG00000229089"
"763","ENSG00000206192"
"764","ENSG00000152766"
"765","ENSG00000163126"
"766","ENSG00000089847"
"767","ENSG00000107890"
"768","ENSG00000261239"
"769","ENSG00000237636"
"770","ENSG00000229427"
"771","ENSG00000105186"
"772","ENSG00000206560"
"773","ENSG00000154065"
"774","ENSG00000148513"
"775","ENSG00000180777"
"776","ENSG00000163046"
"777","ENSG00000224309"
"778","ENSG00000145700"
"779","ENSG00000167612"
"780","ENSG00000164236"
"781","ENSG00000272031"
"782","ENSG00000189127"
"783","ENSG00000235711"
"784","ENSG00000198483"
"785","ENSG00000291582"
"786","ENSG00000291600"
"787","ENSG00000214262"
"788","ENSG00000230006"
"789","ENSG00000174501"
"790","ENSG00000186352"
"791","ENSG00000213337"
"792","ENSG00000154945"
"793","ENSG00000137494"
"794","ENSG00000065413"
"795","ENSG00000183831"
"796","ENSG00000186106"
"797","ENSG00000168876"
"798","ENSG00000151458"
"799","ENSG00000139645"
"800","ENSG00000144031"
